Year,Region,Coral Area (km²),Rubble Area (km²)
2011,1 (Utara) Banjar Sari,0.8277727442282148,0.239618425960799
2011,10 (Selatan) Meok,1.5233922959568371,1.048512142689072
2011,11 (Selatan) Banjar Sari,0.9642826353816396,0.7261164423054516
2011,12 (Barat) Banjar Sari,2.670656274799451,1.1574296090348897
2011,2 (Utara) Meok,1.0891746634581774,0.5184471398060924
2011,3 (Utara) Apoho,0.0421147536537161,0.0479236851921598
2011,4 (Utara) Malakoni,0.7246642094208406,0.3398224949989513
2011,5 (Utara) Kaana,1.051416608458294,0.5082815096138161
2011,6 (Timur) Kahyapu,8.202211332282381,5.091528493445827
2011,7 (Selatan) Kaana,0.7144985792285643,0.4894024821138743
2011,8 (Selatan) Kaana,3.040975660375231,0.9875183615354142
2011,9 (Selatan) Apoho,0.3601537553835039,0.2454273574992426
2011,Enggano,21.21131351262685,11.400028144195591
2012,1 (Utara) Banjar Sari,1.033989813842963,0.405172974806442
2012,10 (Selatan) Meok,2.58933123326124,1.932921969417112
2012,11 (Selatan) Banjar Sari,3.1005172086442783,1.199544362688606
2012,12 (Barat) Banjar Sari,5.217872754406975,2.8057139330682648
2012,2 (Utara) Meok,3.043880126144453,1.304105130380591
2012,3 (Utara) Apoho,0.2497840561530753,0.1771724119225302
2012,4 (Utara) Malakoni,1.8341701332635707,0.5867020853828049
2012,5 (Utara) Kaana,2.44410794480015,1.1806653351886642
2012,6 (Timur) Kahyapu,15.819172812066569,7.497878383246093
2012,7 (Selatan) Kaana,1.664258885764095,0.7377343053823388
2012,8 (Selatan) Kaana,3.482454457296946,1.4420672544186268
2012,9 (Selatan) Apoho,0.67528829134407,0.4835935505754307
2012,Enggano,41.15482771698839,19.75327169647751
2013,1 (Utara) Banjar Sari,0.4240520023,1.044155444
2013,10 (Selatan) Meok,2.139139039,2.563191041
2013,11 (Selatan) Banjar Sari,0.9875183615,1.324436391
2013,12 (Barat) Banjar Sari,2.054909532,4.021232857
2013,2 (Utara) Meok,0.9105500187,2.12461671
2013,3 (Utara) Apoho,0.164102316,0.2686630837
2013,4 (Utara) Malakoni,0.2933510427,1.373812309
2013,5 (Utara) Kaana,0.8422950731,2.165279231
2013,6 (Timur) Kahyapu,6.368041199,10.82639615
2013,7 (Selatan) Kaana,0.617198976,1.462398515
2013,8 (Selatan) Kaana,2.998860907,1.427544926
2013,9 (Selatan) Apoho,0.4966636465,0.4371220983
2013,Enggano,18.32863124,29.08677245
2014,1 (Utara) Banjar Sari,0.2062170696147482,0.0
2014,10 (Selatan) Meok,1.694755776340924,0.779849059036055
2014,11 (Selatan) Banjar Sari,1.1109581567273408,0.5823453867289722
2014,12 (Barat) Banjar Sari,2.831854124991261,0.9090977857664252
2014,2 (Utara) Meok,0.4618100573062672,0.059541548269047
2014,3 (Utara) Apoho,0.1248920280765376,0.0
2014,4 (Utara) Malakoni,0.2018603709609155,0.0
2014,5 (Utara) Kaana,0.4371220982678818,0.0101656301922763
2014,6 (Timur) Kahyapu,4.738635902485377,1.5800293784566626
2014,7 (Selatan) Kaana,0.6651226611517936,0.239618425960799
2014,8 (Selatan) Kaana,2.6735607405686728,0.5315172357675906
2014,9 (Selatan) Apoho,0.2555929876915189,0.1611978501918102
2014,Enggano,15.40238197418324,4.853362300369637
2015,1 (Utara) Banjar Sari,0.5155426740368706,0.4385743311524927
2015,10 (Selatan) Meok,1.5611503509567208,2.5864267674920183
2015,11 (Selatan) Banjar Sari,0.9657348682662504,0.9991362246123012
2015,12 (Barat) Banjar Sari,2.0723363263397587,2.3584262046081066
2015,2 (Utara) Meok,1.1211237869196171,0.808893716728273
2015,3 (Utara) Apoho,0.178624644807141,0.1699112474994756
2015,4 (Utara) Malakoni,1.83271790037896,0.8786008951895964
2015,5 (Utara) Kaana,1.3897868705726342,0.4908547149984852
2015,6 (Timur) Kahyapu,5.294841097291353,6.414512651326359
2015,7 (Selatan) Kaana,0.3107778373067332,0.4516444271139909
2015,8 (Selatan) Kaana,2.264031067108398,1.2198756230731589
2015,9 (Selatan) Apoho,0.2352617273069663,0.5155426740368706
2015,Enggano,17.741929151291405,17.332399477831128
2016,1 (Utara) Banjar Sari,0.1699112474994756,0.4923069478830961
2016,10 (Selatan) Meok,1.620691899225768,4.934687341907849
2016,11 (Selatan) Banjar Sari,0.4618100573062672,0.9090977857664252
2016,12 (Barat) Banjar Sari,0.7624222644207241,1.8457879963404575
2016,2 (Utara) Meok,0.3165867688451769,0.9047410871125926
2016,3 (Utara) Apoho,0.0609937811536579,0.1176308636534831
2016,4 (Utara) Malakoni,0.2367139601915772,0.4850457834600416
2016,5 (Utara) Kaana,0.2410706588454099,0.7914669221129422
2016,6 (Timur) Kahyapu,4.185335173448623,9.47146287343231
2016,7 (Selatan) Kaana,1.1283849513426718,2.631445986914956
2016,8 (Selatan) Kaana,2.287266793262172,4.554202326139793
2016,9 (Selatan) Apoho,0.644791400767241,2.221916313454681
2016,Enggano,12.115978956308766,29.35979222817863
2017,1 (Utara) Banjar Sari,0.0043566986538327,0.7711356617283895
2017,10 (Selatan) Meok,0.2410706588454099,2.401993191146434
2017,11 (Selatan) Banjar Sari,0.1887902749994174,1.2518247465345984
2017,12 (Barat) Banjar Sari,0.538778400190645,2.393279793838768
2017,2 (Utara) Meok,0.0072611644230545,0.8974799226895381
2017,3 (Utara) Apoho,0.0029044657692218,0.1394143569226467
2017,4 (Utara) Malakoni,0.2933510426914024,0.6476958665364628
2017,5 (Utara) Kaana,0.3659626869219475,1.048512142689072
